user_id,age,gender,steps,calories_burned,sleep_hours,workout_duration_minutes,water_intake_liters,mood
1102,38,Female,2713,372.5,7.8,0,1.09,Tired
1435,21,Female,1635,245.4,7.8,20,2.93,Neutral
1860,24,Male,16193,900,10,43,2.24,Tired
1270,43,Female,15633,819.5,6.5,62,2.61,Happy
1106,29,Female,10309,629.3,7.1,0,3.59,Neutral
1071,48,Female,16778,865.3,9.9,0,2.41,Neutral
1700,34,Female,8445,556,7.4,36,2.94,Neutral
1020,50,Female,13415,763.5,5.4,58,2.54,Happy
1614,28,Male,15281,843.3,7.5,74,2.42,Tired
1121,45,Male,7602,504.2,8.1,87,2.34,Tired
1466,49,Male,1037,120,6.5,64,2.99,Tired
1214,18,Female,10824,662.7,8.2,47,1.99,Happy
1330,45,Female,4775,292.5,8.1,75,1.71,Tired
1458,59,Female,11555,631.9,6.3,48,2.55,Tired
1087,24,Male,6120,325.2,9.3,0,2.63,Happy
1372,19,Female,15678,900,5.8,88,1.22,Happy
1099,59,Female,18425,900,7.7,30,2.49,Tired
1871,41,Female,5715,412.3,6.1,21,1.64,Happy
1663,21,Male,2394,366.7,4.5,87,2.94,Happy
1130,36,Female,3869,381.4,7.5,29,1.24,Happy
1661,43,Male,4676,393.3,9.9,46,3.85,Neutral
1308,28,Female,4721,408.6,6.9,54,2.26,Neutral
1769,57,Male,6690,448.5,4.8,69,1.89,Tired
1343,28,Male,6818,410.7,7.3,21,2.3,Tired
1491,20,Male,1234,297.4,5.8,36,2.89,Happy
1413,29,Female,4140,362.1,8.6,43,3.12,Tired
1805,20,Female,9638,497.6,6.7,76,2.31,Neutral
1385,59,Male,13897,781.2,4.3,35,1.49,Tired
1191,44,Male,18383,900,7.8,55,1.65,Tired
1955,19,Female,18718,900,7.3,0,2.7,Neutral
1276,33,Female,9325,586.4,6.6,29,3.19,Neutral
1160,19,Male,11624,605.9,5.4,82,3.28,Happy
1459,47,Female,7090,394.1,9.7,62,2.62,Happy
1313,37,Female,12377,758.3,6.3,70,3.18,Happy
1021,55,Female,18495,900,8.3,22,3.84,Tired
1252,45,Female,15870,791.5,6.3,85,3.33,Tired
1747,42,Male,3103,288.1,8,54,3.15,Tired
1856,49,Female,6125,509.9,7.1,88,1.94,Neutral
1560,27,Female,7590,527.2,7,55,3.17,Tired
1474,59,Male,11212,703.3,5.8,0,2.82,Neutral
1058,57,Male,10600,636.3,7.8,20,2.96,Tired
1510,50,Female,3921,315,9.1,61,3.38,Tired
1681,30,Female,5734,518.7,5.4,60,2.75,Neutral
1475,58,Female,17037,861.9,5.8,76,2.43,Neutral
1699,59,Female,1836,313.7,10,39,1.75,Neutral
1975,54,Male,13094,778,5.5,33,2.29,Happy
1782,33,Male,10028,601.4,6.2,71,2.65,Happy
1189,39,Male,11749,614.3,9.1,0,2.69,Tired
1957,37,Female,16432,823.4,9.1,68,2.67,Tired
1686,44,Female,12051,715.9,3.4,49,3.17,Tired
1957,58,Female,16586,890.1,8.1,0,3.11,Happy
1562,33,Female,6312,517.5,6.7,31,2.46,Tired
1875,51,Male,4822,449.8,6.8,50,1.91,Neutral
1566,49,Male,12622,657.2,8.7,56,2.77,Neutral
1243,43,Female,17099,900,6.5,46,4.07,Happy
1831,42,Male,18188,876.2,6.2,43,2.72,Neutral
1504,19,Female,2075,312.7,6.5,60,2.29,Neutral
1130,29,Female,15063,900,6.5,83,2.88,Tired
1484,57,Male,17383,900,7.5,30,2.92,Neutral
1818,26,Female,10605,535.3,9,35,2.91,Neutral
1646,29,Female,5452,401.8,7.6,33,3.46,Happy
1020,43,Male,19047,900,7,66,2.77,Neutral
1840,26,Female,13298,721.6,7.8,49,3.43,Neutral
1166,27,Female,13368,801.1,8.2,43,2.66,Tired
1273,49,Male,8428,489.3,7.9,32,3.56,Tired
1387,51,Female,19437,900,6,28,3.34,Tired
1600,37,Male,16817,861.9,7.6,68,3.15,Happy
1315,56,Female,3420,434.3,3.8,45,3.05,Tired
1013,19,Male,19912,900,9.3,68,4.11,Neutral
1241,18,Male,5317,318.4,9.3,0,3.25,Happy
1776,53,Male,9412,695.6,8.3,64,1.91,Neutral
1345,41,Female,17321,900,8.9,40,2.67,Neutral
1564,44,Male,1227,281.8,6.9,48,2.31,Tired
1897,19,Male,19721,900,5.9,0,3.95,Happy
1339,48,Male,12456,711.1,5.1,61,3.38,Happy
1091,31,Male,1955,279.2,8.5,60,3.92,Tired
1366,19,Male,18881,900,5.9,67,1.97,Happy
1955,46,Female,10472,652.3,6.4,62,3.27,Neutral
1454,32,Female,2978,233.8,7.3,27,1.54,Happy
1427,29,Female,18913,900,6.9,82,1.39,Neutral
1508,54,Female,13675,807.6,7.4,82,2.22,Happy
1775,45,Female,17128,848.8,4.3,25,3.56,Happy
1942,37,Female,16668,842.1,6.6,71,1.81,Tired
1034,56,Female,8445,542.3,8.2,40,2.49,Tired
1205,41,Male,5284,392.8,6.4,33,3.33,Happy
1080,38,Female,18585,900,5.7,77,3.09,Neutral
1931,27,Male,8131,534,8.4,44,4.05,Tired
1561,31,Male,11614,589.2,6.4,75,2.5,Tired
1871,54,Female,1759,233.6,7.3,28,2.19,Tired
1387,35,Male,14684,745.2,6.7,55,1.73,Happy
1001,41,Male,10680,604,7,76,2.24,Neutral
1389,31,Male,5371,420.4,9.3,24,1.73,Neutral
1565,51,Male,13651,761.4,7.9,26,1.24,Happy
1105,29,Female,2665,188.2,5.2,25,3.87,Neutral
1771,39,Female,7918,568,6.4,71,2.53,Tired
1821,23,Female,11194,643.2,6.4,89,4.31,Neutral
1476,53,Female,12213,632.5,7.3,74,1.91,Tired
1702,53,Female,16745,900,8.4,0,2.2,Tired
1401,39,Female,8636,440.2,7,20,1.96,Happy
1729,31,Female,18749,871.2,7,56,2.05,Tired
1555,33,Female,8344,640.2,3.7,68,3.11,Neutral
1161,53,Female,4201,375.4,9,31,2.9,Neutral
1201,42,Female,5752,393.2,6.7,24,3.11,Neutral
1957,49,Male,10575,628.4,7.4,89,3.44,Neutral
1995,50,Female,11327,644,7.4,0,3.28,Neutral
1269,53,Male,16891,877.4,5.8,0,1.79,Tired
1862,37,Male,14029,785.6,6.6,74,2.13,Happy
1815,35,Male,7091,473.7,5.8,69,2.59,Happy
1270,55,Male,18905,900,9.1,72,5,Neutral
1455,20,Female,16866,866.7,3.7,74,3.04,Tired
1461,40,Male,8521,499.8,5.6,22,2.57,Happy
1726,49,Female,16410,801.1,6.5,35,2.97,Neutral
1251,33,Female,19007,900,9.2,64,2.08,Tired
1701,22,Male,6820,505.2,8.1,55,2.68,Happy
1295,21,Female,12453,750,4.5,38,3.17,Tired
1724,38,Male,5696,428,6.8,23,2.48,Neutral
1719,57,Male,2867,326,8.1,78,1.97,Tired
1748,31,Female,16723,860,10,31,2.45,Happy
1337,56,Female,12817,770.6,6.5,82,2.28,Happy
1878,48,Male,1168,229.5,5.2,75,1.55,Tired
1052,31,Female,11213,599.3,7.5,0,2.1,Happy
1791,23,Female,16223,875,6.9,0,1.53,Tired
1921,29,Female,12452,690.5,7.7,43,1.63,Tired
1216,33,Male,9027,573.6,8,45,1.7,Neutral
1763,34,Male,17291,900,7.5,41,3.17,Neutral
1187,40,Female,11641,636.7,7.8,89,3.54,Tired
1379,31,Female,1224,238,9.5,38,1.42,Happy
1492,24,Female,9749,574.4,6.6,53,3.61,Neutral
1040,49,Female,7582,567.6,5.2,0,1.71,Happy
1156,32,Female,2573,303.6,7.5,64,3.02,Tired
1014,34,Male,9577,590.9,5.1,56,2.68,Happy
1812,58,Female,9712,530.7,5.3,42,2.95,Happy
1064,51,Male,7763,547.1,5.8,59,1.68,Tired
1856,22,Female,13164,748,5.1,62,1.23,Neutral
1838,44,Male,6217,406.9,8.8,23,1.94,Neutral
1520,40,Female,17272,900,7.1,34,2.8,Happy
1343,57,Male,13734,766.2,8.1,42,3.87,Tired
1128,31,Female,12353,662.9,7.8,31,1.78,Tired
1647,32,Male,4501,379.9,6.7,87,2.43,Neutral
1471,50,Male,14530,762.8,8.4,0,1.98,Tired
1062,48,Male,13394,813,6.3,71,2.49,Tired
1138,52,Male,2499,346.6,6.7,0,1.15,Happy
1498,34,Male,10669,649.5,5.9,78,3.55,Happy
1592,45,Male,11519,746.6,9.1,77,2.52,Neutral
1391,36,Female,14239,717.6,6.8,78,3.14,Neutral
1674,40,Male,19128,900,7.9,42,2.34,Happy
1418,49,Female,3039,348.9,6.1,20,2.63,Tired
1288,57,Female,9311,560.9,8.3,75,3.29,Tired
1378,30,Female,4857,383,8.2,23,2.59,Happy
1772,37,Female,5950,484.2,4.6,48,2.62,Happy
1489,52,Female,16441,900,7,36,1.94,Happy
1230,22,Male,13735,678.3,7.2,68,2.13,Happy
1040,26,Male,2743,400.5,6.6,70,1.79,Tired
1027,46,Male,14283,828.5,9.1,68,1.98,Tired
1134,23,Female,10638,611.4,5.2,43,3.38,Neutral
1200,42,Male,4616,345.1,6.3,63,3.77,Happy
1839,48,Male,16383,900,5.7,0,1.63,Neutral
1779,39,Male,4894,420.6,8.5,0,2.78,Tired
1929,19,Male,19108,900,5.5,0,2.28,Neutral
1032,22,Male,7227,517.6,4.3,0,3.48,Tired
1047,44,Female,11464,719.3,7.6,50,2.59,Tired
1502,42,Male,8847,596.7,6.8,35,2.49,Neutral
1406,25,Female,5281,384.5,8.6,51,1.98,Neutral
1573,18,Female,19584,900,8.2,61,1.43,Happy
1727,37,Female,3143,343.5,6.9,53,3.03,Tired
1804,40,Female,15780,900,4.8,56,2.75,Happy
1098,49,Female,4181,359.8,5.2,35,2.76,Happy
1683,28,Male,7520,519,4.3,32,2.08,Tired
1871,56,Male,14052,806.8,6.8,85,2.4,Neutral
1725,41,Male,13271,709.9,6,52,3.05,Happy
1986,28,Female,18480,900,6.7,0,3.19,Happy
1546,46,Male,13499,740.7,7.3,56,1.68,Tired
1960,43,Male,9915,659.1,9.8,59,2.06,Neutral
1738,33,Female,17122,837.7,7.9,27,1.53,Neutral
1612,52,Female,12431,812.9,7.1,73,2.64,Happy
1942,37,Female,7918,501.1,4.7,0,3.12,Tired
1461,20,Female,9148,592,7,21,2.3,Happy
1642,18,Male,14038,761.8,8.3,75,2.04,Neutral
1768,18,Female,14805,738.3,7.6,76,2.27,Happy
1004,34,Female,8749,591.6,5.4,0,4.11,Tired
1217,19,Male,3871,341.6,6.4,0,3.33,Happy
1502,46,Male,5489,445.8,7.1,27,3.01,Neutral
1766,37,Female,5607,384,6.4,82,2.72,Tired
1397,23,Male,13973,745.9,6.1,65,2.49,Tired
1870,25,Female,13111,709.7,3.8,86,1.87,Tired
1794,46,Female,6834,500.9,5.8,0,1.76,Tired
1392,50,Male,10912,651.9,7.4,86,2.1,Tired
1206,20,Male,4399,367.1,8.3,61,1.83,Happy
1014,52,Female,19241,900,7.1,83,2.07,Tired
1857,22,Female,8604,559.9,8.6,72,2.43,Neutral
1553,44,Female,11957,688.2,6.9,26,2.48,Tired
1891,29,Male,8731,555.7,5.7,26,2.07,Neutral
1460,37,Female,19780,900,6.3,55,2.85,Neutral
1690,37,Female,16808,899.9,7.7,32,2.37,Neutral
1574,26,Female,3261,426.6,6.6,86,2.65,Neutral
1863,56,Female,12809,708.9,6,0,1.98,Neutral
1742,21,Female,18696,900,4.7,72,2.99,Happy
1240,36,Male,11056,617,5.7,71,2.13,Neutral
1563,55,Female,19689,900,6.4,80,3.63,Neutral
1095,44,Female,1997,263.6,6.1,80,2.34,Neutral
1899,30,Female,16155,822.8,5.5,75,2.43,Happy
1733,30,Female,7353,399.1,9.3,59,2.92,Tired
1484,39,Male,19703,900,7.9,0,3.07,Neutral
1406,45,Male,4207,349.1,10,76,3.14,Happy
1230,39,Male,10275,684.7,4.6,23,3.74,Happy
1748,36,Female,16874,870.1,7.5,45,2.96,Happy
1654,25,Female,4086,395.7,6.3,81,2.45,Tired
1170,25,Male,16973,882.6,7,73,2.13,Happy
